level,size,network_cells,plants,branches,solution_taps,difficulty_score
126,6,31,5,4,46,724
127,6,31,5,4,46,724
128,6,32,5,4,36,728
129,6,31,5,4,49,729
130,6,32,5,4,43,741
131,6,32,5,4,43,743
132,6,32,6,5,45,747
133,6,33,5,4,39,747
134,6,32,5,4,47,749
135,6,32,5,4,49,751
136,6,33,5,4,35,751
137,6,32,5,4,48,752
138,6,32,6,5,49,755
139,6,33,5,4,42,762
140,6,33,5,4,48,762
141,6,34,5,4,39,769
142,6,33,5,4,46,770
143,6,33,5,4,48,774
144,6,33,6,5,49,775
145,6,33,5,4,54,776
146,6,34,5,4,38,778
147,6,34,5,4,39,779
148,6,34,5,4,39,781
149,6,34,5,4,49,789
150,6,34,5,4,48,790
151,6,34,5,4,47,793
152,6,35,5,4,39,795
153,6,34,5,4,53,797
154,6,35,5,4,45,803
155,6,35,5,4,50,812
156,6,35,5,4,50,812
157,6,35,5,4,45,813
158,6,35,5,4,52,816
159,6,35,6,5,53,825
160,6,36,6,5,48,840
161,7,37,7,6,42,856
162,7,37,7,6,47,859
163,7,37,7,6,47,859
164,7,37,7,6,45,861
165,7,37,7,6,49,861
166,7,37,7,6,44,864
167,7,37,7,6,50,872
168,7,37,7,6,56,872
169,7,38,7,6,44,884
170,7,38,7,6,49,885
171,7,38,7,6,47,885
172,7,38,7,6,50,888
173,7,38,8,7,51,891
174,7,38,7,6,57,895
175,7,38,7,6,51,895
176,7,39,7,6,48,902
177,7,39,7,6,47,903
178,7,39,7,6,46,904
179,7,39,7,6,48,906
180,7,39,7,6,48,908
181,7,39,7,6,53,909
182,7,39,7,6,55,911
183,7,40,7,6,54,926
184,7,39,7,6,59,927
185,7,40,7,6,53,931
186,7,40,7,6,51,931
187,7,40,7,6,55,937
188,7,41,7,6,48,938
189,7,40,8,7,53,945
190,7,40,7,6,59,945
191,7,40,7,6,58,946
192,7,41,7,6,57,953
193,7,41,7,6,54,954
194,7,41,7,6,56,954
195,7,41,7,6,55,955
196,7,41,7,6,51,957
197,7,41,7,6,55,957
198,7,41,7,6,57,959
199,7,42,7,6,46,960
200,7,42,7,6,50,966
201,7,42,7,6,53,969
202,7,42,7,6,56,972
203,7,42,7,6,56,974
204,7,43,7,6,48,976
205,7,42,7,6,57,977
206,7,42,8,7,57,983
207,7,43,7,6,55,993
208,7,43,7,6,65,1003
209,7,43,7,6,61,1005
210,7,43,7,6,63,1009
211,7,44,7,6,52,1010
212,7,44,7,6,48,1010
213,7,43,7,6,64,1012
214,7,43,7,6,66,1018
215,7,44,7,6,58,1018
216,7,44,7,6,59,1021
217,7,44,7,6,60,1024
218,7,44,7,6,56,1026
219,7,44,7,6,62,1030
220,7,45,7,6,54,1032
221,7,45,7,6,57,1033
222,7,45,7,6,52,1036
223,7,44,8,7,59,1039
224,7,45,7,6,61,1043
225,7,45,7,6,61,1045
226,7,45,7,6,57,1045
227,7,45,7,6,62,1050
228,7,46,7,6,62,1064
229,7,46,7,6,65,1067
230,7,46,7,6,61,1067
231,7,46,7,6,62,1068
232,7,46,7,6,60,1070
233,7,46,8,7,65,1071
234,7,46,7,6,64,1074
235,7,46,8,7,66,1078
236,7,47,7,6,59,1085
237,7,47,7,6,65,1089
238,7,47,7,6,66,1092
239,7,47,7,6,63,1097
240,7,47,7,6,69,1097
241,7,47,7,6,72,1102
242,7,47,7,6,70,1102
243,7,48,7,6,63,1107
244,7,48,7,6,67,1113
245,7,48,8,7,67,1119
246,7,48,8,7,65,1121
247,7,48,8,7,67,1123
248,7,48,7,6,69,1125
249,7,48,7,6,73,1133
250,7,49,8,7,68,1150
